H,a,b,실제비관,위약비관,차비관,실제낙관,위약낙관,차낙관
24,0.5,1.0,-1.0083333333333402,-0.7977030030003168,-0.21063033033302336,-0.10208333333333185,-0.1265066177558754,0.02442328442254356
24,0.5,2.0,-1.4002072858477592,-1.129627185249539,-0.27058010059822024,-0.16756839695886783,-0.2170221056398861,0.04945370868101828
24,0.5,3.0,-1.838662550282257,-1.449298271640829,-0.389364278641428,-0.23449588361559684,-0.24038536972513136,0.00588948610953452
24,0.5,5.0,-2.6505685570409416,-2.0911275817454875,-0.5594409752954541,-0.2825130014853999,-0.24287249033249528,-0.039640511152904595
24,1.0,1.0,-0.9142041903056158,-0.5911388160017567,-0.3230653743038592,0.09505506895364943,-0.01869114545540993,0.11374621440905935
24,1.0,2.0,-1.2002102776670374,-0.7316645961523298,-0.46854568151470755,-0.1446547221114758,-0.15605990447445037,0.01140518236297458
24,1.0,3.0,-1.4281784138842097,-0.8627751231569449,-0.5654032907272648,-0.23373396943976368,-0.18887472587154217,-0.04485924356822152
24,1.0,5.0,-2.015564123347566,-1.1294667554964968,-0.8860973678510691,-0.4183419011253513,-0.18917573429331647,-0.22916616683203483
24,2.0,1.0,-0.701375683778343,-0.39409103555902303,-0.30728464821932,0.5694576495549912,0.1916280915567262,0.377829557998265
24,2.0,2.0,-0.886786800384566,-0.4179386181459465,-0.4688481822386195,0.1039539403561794,-0.03741402717516039,0.1413679675313398
24,2.0,3.0,-0.8947225401580833,-0.43208504833460476,-0.4626374918234785,0.042777459841920246,-0.08217482317974985,0.1249522830216701
24,2.0,5.0,-1.369643332843216,-0.4814182379601703,-0.8882250948830457,-0.3488099995098807,-0.08267779147228904,-0.26613220803759163
24,3.0,1.0,-0.6258777148352264,-0.29547873786128104,-0.3303989769739453,0.9944926555351427,0.3947264103271536,0.599766245207989
24,3.0,2.0,-0.7633641875522389,-0.26578288960353874,-0.49758129794870015,0.33617284948480297,0.08678429389533937,0.2493885555894636
24,3.0,3.0,-0.662323234630954,-0.24644155069021628,-0.4158816839407377,0.24045454314682674,0.020824162732626234,0.2196303804142005
