H,a,b,n,목표,손절,미도달,불명,비관,낙관,하한3d,상한3d,하한1d,하한7d
24,0.5,1.0,432,19.444444444444446,20.13888888888889,0.0,60.416666666666664,-1.0083333333333402,-0.10208333333333185,-1.0995241677918965,-0.9159580174631166,-1.0948453908156968,-1.0785378373639063
24,0.5,2.0,432,35.18518518518518,13.88888888888889,1.6203703703703702,49.30555555555556,-1.4002072858477592,-0.16756839695886783,-1.5848387085880387,-1.2543416695406926,-1.5738060322302532,-1.5642642642642697
24,0.5,3.0,432,39.81481481481482,11.11111111111111,3.2407407407407405,45.83333333333333,-1.838662550282257,-0.23449588361559684,-2.1694752860535758,-1.5989334007846205,-2.1024190939422813,-2.093714392525878
24,0.5,5.0,432,44.907407407407405,6.944444444444445,5.092592592592593,43.05555555555556,-2.6505685570409416,-0.2825130014853999,-3.2649440678535777,-2.200973574320847,-3.130698675147276,-3.1860214671613476
24,1.0,1.0,432,19.212962962962962,30.09259259259259,0.23148148148148145,50.46296296296296,-0.9142041903056158,0.09505506895364943,-1.0328384109859563,-0.8054361917635477,-1.0213570595717687,-0.9826915565492592
24,1.0,2.0,432,34.9537037037037,26.38888888888889,3.4722222222222223,35.18518518518518,-1.2002102776670374,-0.1446547221114758,-1.378910542564052,-1.0442335977945654,-1.3832354482147031,-1.3921767993686323
24,1.0,3.0,432,43.51851851851852,21.064814814814813,5.555555555555555,29.86111111111111,-1.4281784138842097,-0.23373396943976368,-1.7443736618276633,-1.2027746895181772,-1.7308023948899987,-1.7226260603897412
24,1.0,5.0,432,48.61111111111111,13.657407407407407,11.11111111111111,26.620370370370374,-2.015564123347566,-0.4183419011253513,-2.6145891665000685,-1.5841725071873571,-2.5644586436094094,-2.578088765947312
24,2.0,1.0,432,19.675925925925927,37.26851851851852,0.6944444444444444,42.36111111111111,-0.701375683778343,0.5694576495549912,-0.944036733005602,-0.48128252116869835,-0.8987110608145812,-0.9682041836793917
24,2.0,2.0,432,32.870370370370374,36.80555555555556,5.555555555555555,24.76851851851852,-0.886786800384566,0.1039539403561794,-1.2384590383613236,-0.5178399109176809,-1.158672366116046,-1.2348493934409586
24,2.0,3.0,432,43.51851851851852,28.47222222222222,9.25925925925926,18.75,-0.8947225401580833,0.042777459841920246,-1.322541231736396,-0.5366495048030382,-1.2726576814625288,-1.3592214954736408
24,2.0,5.0,432,47.91666666666667,20.833333333333336,16.666666666666664,14.583333333333334,-1.369643332843216,-0.3488099995098807,-2.017133189106344,-0.870070818491685,-1.9599829823312827,-2.0862332978442333
