runId,전략,코인페어,타임프레임,전체시작일,전체종료일,학습기간종료일,테스트기간종료일,초기자금,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,총거래,승리거래,패배거래,평균수익(%),평균손실(%),생성일시
181,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 22:00:00,2025-05-24 23:00:00,1000000.00,W3_OUT,7.62,20.0,-6.72,1.4152,4.5579,5.7563,10,,,,,2026-04-24 10:06:55
181,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,,1000000.00,W4_IN,0.08,15.0,-8.67,0.096,0.256,0.0216,20,,,,,2026-04-24 10:06:55
181,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,2026-03-30 23:00:00,1000000.00,W4_OUT,-14.69,0.0,-14.69,-4.7093,-4.5999,-3.57,10,,,,,2026-04-24 10:06:55
181,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,4.18,13.04,-12.71,0.1533,0.3443,0.0912,46,,,,,2026-04-24 10:06:55
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 21:00:00,,1000000.00,W0_IN,20.21,18.18,-4.26,1.4649,5.9382,9.5381,22,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 21:00:00,2022-11-06 19:00:00,1000000.00,W0_OUT,26.1,37.5,-4.62,3.3419,16.1765,76.4871,8,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,,1000000.00,W1_IN,-19.97,5.56,-26.78,-2.5336,-4.1194,-1.3056,36,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,2023-09-12 22:00:00,1000000.00,W1_OUT,-9.19,0.0,-9.19,-5.0262,-4.8932,-4.3468,13,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-17 00:00:00,,1000000.00,W2_IN,43.25,23.33,-4.92,2.4283,10.2831,21.9707,30,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-17 00:00:00,2024-07-19 00:00:00,1000000.00,W2_OUT,8.69,33.33,-7.88,1.5367,4.0206,6.5568,6,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 22:00:00,,1000000.00,W3_IN,23.54,17.39,-4.84,1.8236,8.8848,13.0088,23,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 22:00:00,2025-05-24 23:00:00,1000000.00,W3_OUT,7.62,20.0,-6.72,1.4152,4.5579,5.7563,10,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,,1000000.00,W4_IN,0.08,15.0,-8.67,0.096,0.256,0.0216,20,,,,,2026-04-24 10:06:05
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,2026-03-30 23:00:00,1000000.00,W4_OUT,-14.69,0.0,-14.69,-4.7093,-4.5999,-3.57,10,,,,,2026-04-24 10:06:05
