포지션ID,세션ID,전략,코인페어,방향,진입가,평균가,수량,투자KRW,실현손익,포지션수수료,수익률(%),상태,시장레짐,손절가,익절가,진입일시,청산일시
262,null,,KRW-BTC,BUY,103694000.00000000,103748541.93548387,0.00007750,null,-4.02025600,4.02,0,CLOSED,,null,null,2026-03-22 10:12:29,2026-03-22 10:17:38
261,null,,KRW-BTC,BUY,103941000.00000000,103977973.11271975,0.00007736,null,-4.02186800,4.02,0,CLOSED,,null,null,2026-03-22 10:02:28,2026-03-22 10:04:38
260,null,,KRW-BTC,BUY,104003000.00000000,104127225.67287785,0.00007728,null,-4.02347600,4.02,0,CLOSED,,null,null,2026-03-22 09:41:27,2026-03-22 09:42:33
259,null,,KRW-BTC,BUY,103220000.00000000,103022472.48528283,0.00007814,null,-4.02508800,4.03,0,CLOSED,,null,null,2026-03-22 09:02:25,2026-03-22 09:05:32
258,null,,KRW-XRP,BUY,2155.00000000,2156.00000208,4.63589981,null,-4.99750000,5.00,0,CLOSED,,null,null,2026-03-22 08:30:23,2026-03-22 20:14:08
257,null,,KRW-BTC,BUY,105460000.00000000,105460000.00000000,0E-8,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-22 07:43:20,2026-03-22 07:57:21
256,null,,KRW-BTC,BUY,105462000.00000000,105462000.00000000,0E-8,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-22 07:35:54,2026-03-22 07:41:35
255,null,,KRW-BTC,BUY,105501000.00000000,105501000.00000000,0E-8,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-22 03:57:43,2026-03-22 04:09:44
254,null,,KRW-ETH,BUY,3221000.00000000,3221007.72271987,0.00249394,null,-4.01650000,4.02,0,CLOSED,,null,null,2026-03-22 02:22:38,2026-03-22 08:53:32
253,null,,KRW-BTC,BUY,105907000.00000000,105923872.15572800,0.00007603,null,-4.02669600,4.03,0,CLOSED,,null,null,2026-03-22 01:10:34,2026-03-22 01:11:43
252,null,,KRW-BTC,BUY,105840000.00000000,105910556.06678060,0.00007607,null,-4.02830800,4.03,0,CLOSED,,null,null,2026-03-22 00:15:31,2026-03-22 00:16:37
251,null,,KRW-BTC,BUY,106319000.00000000,106274261.60337553,0.00007584,null,-4.02992000,4.03,0,CLOSED,,null,null,2026-03-21 23:47:30,2026-03-21 23:52:36
250,null,,KRW-BTC,BUY,105975000.00000000,105981388.01261830,0.00007608,null,-4.03153200,4.03,0,CLOSED,,null,null,2026-03-21 23:02:27,2026-03-21 23:38:36
249,null,,KRW-XRP,BUY,2155.00000000,2156.00000183,4.63821892,null,-5.00000000,5.00,0,CLOSED,,null,null,2026-03-21 22:42:26,2026-03-22 08:01:31
248,null,,KRW-BTC,BUY,106017000.00000000,105968155.54387809,0.00007612,null,-4.03314800,4.03,0,CLOSED,,null,null,2026-03-21 22:31:26,2026-03-21 22:55:35
247,null,,KRW-BTC,BUY,106002000.00000000,106052411.61782100,0.00007609,null,-4.03476400,4.03,0,CLOSED,,null,null,2026-03-21 22:20:25,2026-03-21 22:22:34
245,null,,KRW-BTC,BUY,105798000.00000000,105802778.50589777,0.00007630,null,-4.03637600,4.04,0,CLOSED,,null,null,2026-03-21 12:06:06,2026-03-21 21:37:56
241,null,,KRW-BTC,BUY,103653000.00000000,103658555.62784645,0E-8,null,133.23652588,0.00,0,CLOSED,,null,null,2026-03-20 03:46:09,2026-03-21 11:11:05
240,null,,KRW-ETH,BUY,3180000.00000000,3180004.13400537,0E-8,null,41.24992372,0.00,0,CLOSED,,null,null,2026-03-19 22:42:58,2026-03-20 14:29:38
238,null,,KRW-BTC,BUY,105815000.00000000,105876124.93382742,0E-8,null,-42.29920082,0.00,0,CLOSED,,null,null,2026-03-19 08:25:33,2026-03-19 10:15:38
236,null,,KRW-ETH,BUY,3442000.00000000,3442000.14628501,0E-8,null,-8.64647560,0.00,0,CLOSED,,null,null,2026-03-18 13:51:31,2026-03-18 13:54:37
231,null,,KRW-ETH,BUY,3442000.00000000,3442000.00000000,0E-8,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-18 10:29:56,2026-03-18 10:32:56
226,null,,KRW-ETH,BUY,3422000.00000000,3422000.00000000,0.00233781,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-18 09:20:12,2026-03-18 09:37:19
225,null,,KRW-ETH,BUY,3428000.00000000,3428000.00000000,0.00233372,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-18 09:02:31,2026-03-18 09:19:55
224,null,,KRW-ETH,BUY,3423000.00000000,3423000.00000000,0.00233713,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-18 08:55:31,2026-03-18 09:01:44
218,null,,KRW-ETH,BUY,3405000.00000000,3405000.00000000,0.00234948,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-17 15:20:05,2026-03-18 08:55:13
217,null,,KRW-ETH,BUY,3404000.00000000,3404000.00000000,0.00235017,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-17 14:38:03,2026-03-18 08:55:09
216,null,,KRW-ETH,BUY,3403000.00000000,3403000.00000000,0.00235086,null,0E-8,0.00,0,CLOSED,,null,null,2026-03-17 14:37:03,2026-03-18 08:55:11
