runId,전략,코인페어,타임프레임,전체시작일,전체종료일,학습기간종료일,테스트기간종료일,초기자금,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,총거래,승리거래,패배거래,평균수익(%),평균손실(%),생성일시
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-07-24 07:00:00,,1000000.00,W0_IN,7.82,20.0,-10.0,0.9549,2.7652,2.1186,15,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-07-24 07:00:00,2022-10-19 19:00:00,1000000.00,W0_OUT,-6.9,7.69,-11.62,-1.6327,-2.7971,-2.9176,13,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-05-12 06:00:00,,1000000.00,W1_IN,-2.16,13.64,-14.38,-0.0482,-0.112,-0.2897,22,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-05-12 06:00:00,2023-08-07 19:00:00,1000000.00,W1_OUT,-4.82,16.67,-5.62,-6.4717,-6.5003,-9.6756,6,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-02-28 07:00:00,,1000000.00,W2_IN,37.94,25.0,-8.97,2.0557,7.769,9.8815,24,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-02-28 07:00:00,2024-05-25 22:00:00,1000000.00,W2_OUT,8.67,18.18,-4.7,1.5065,6.1762,10.2757,11,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-12-16 06:00:00,,1000000.00,W3_IN,-2.62,10.71,-8.46,-0.2496,-0.7073,-0.7032,28,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-12-16 06:00:00,2025-03-13 21:00:00,1000000.00,W3_OUT,27.64,75.0,-1.29,4.5917,55.381,483.7795,4,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-10-04 06:00:00,,1000000.00,W4_IN,-5.97,10.53,-16.36,-0.6003,-1.2403,-0.74,19,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-10-04 06:00:00,2025-12-30 23:00:00,1000000.00,W4_OUT,-4.29,0.0,-4.29,-6.1796,-5.9704,-9.8921,4,,,,,2026-04-24 12:38:02
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,20.3,18.42,-20.66,0.4795,1.4925,0.2761,38,,,,,2026-04-24 12:38:02
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-07-24 07:00:00,,1000000.00,W0_IN,11.28,25.0,-8.85,1.3076,4.2099,3.6932,12,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-07-24 07:00:00,2022-10-19 19:00:00,1000000.00,W0_OUT,-7.42,8.33,-12.11,-1.7458,-2.922,-2.9739,12,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-05-12 06:00:00,,1000000.00,W1_IN,-16.84,5.56,-18.86,-2.3017,-3.3179,-1.6025,18,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-05-12 06:00:00,2023-08-07 19:00:00,1000000.00,W1_OUT,-4.3,0.0,-4.3,-7.5178,-7.0893,-9.1676,6,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-02-28 07:00:00,,1000000.00,W2_IN,22.18,22.22,-7.78,1.5838,5.4786,6.9592,18,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-02-28 07:00:00,2024-05-25 22:00:00,1000000.00,W2_OUT,13.21,25.0,-2.32,2.2257,13.5532,34.5238,8,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-12-16 06:00:00,,1000000.00,W3_IN,0.25,13.04,-6.67,0.1175,0.3533,0.088,23,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-12-16 06:00:00,2025-03-13 21:00:00,1000000.00,W3_OUT,27.64,75.0,-1.29,4.5917,55.381,483.7795,4,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-10-04 06:00:00,,1000000.00,W4_IN,-6.48,7.69,-13.27,-0.9951,-1.9612,-0.9875,13,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-10-04 06:00:00,2025-12-30 23:00:00,1000000.00,W4_OUT,-2.89,0.0,-2.89,-5.0142,-4.9301,-11.0041,3,,,,,2026-04-24 12:37:40
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,26.25,18.18,-18.39,0.6034,2.0244,0.3944,33,,,,,2026-04-24 12:37:40
376,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-07-24 07:00:00,,1000000.00,W0_IN,11.28,25.0,-8.85,1.3076,4.2099,3.6932,12,,,,,2026-04-24 12:37:15
376,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-07-24 07:00:00,2022-10-19 19:00:00,1000000.00,W0_OUT,-7.42,8.33,-12.11,-1.7458,-2.922,-2.9739,12,,,,,2026-04-24 12:37:15
376,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-05-12 06:00:00,,1000000.00,W1_IN,-16.84,5.56,-18.86,-2.3017,-3.3179,-1.6025,18,,,,,2026-04-24 12:37:15
376,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-05-12 06:00:00,2023-08-07 19:00:00,1000000.00,W1_OUT,-3.91,0.0,-3.91,-8.2278,-7.6932,-11.9918,5,,,,,2026-04-24 12:37:15
