분석,signal,h,n_coins,incl,excl,n_obs,abs,abs_lo,abs_hi,diff,diff_lo,diff_hi,p_abs,p_diff,p_comb,invalid,verdict,p_holm,holm_sig
주분석,S1,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,15109,-0.33589056342037205,-0.39254711802331016,-0.28100885232851935,-0.056268985107125566,-0.09746856944227628,-0.01309782690290834,1.0,0.9960019990004998,1.0,0.0,탈락,1.0,False
주분석,S1,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,12745,-0.2863558372493754,-0.4129582774026359,-0.15939068828818806,-0.04497068699946856,-0.11718131397387446,0.03315183282494258,1.0,0.8785607196401799,1.0,0.0,탈락,1.0,False
주분석,S1,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,9410,-0.2149167953566624,-0.43157203122475685,0.004762772847109853,-0.02803689401325497,-0.13517596486520334,0.08028130398716167,0.9740129935032483,0.6941529235382309,0.9740129935032483,0.0,탈락,1.0,False
주분석,S2,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,23330,-0.19913340205311977,-0.25139984422110223,-0.14551303101761665,0.0804881762601267,0.04038662982032861,0.1203841119402568,1.0,0.0004997501249375312,1.0,0.0,탈락,1.0,False
주분석,S2,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,9262,-0.05836643475911255,-0.2036406337617275,0.07942661894022396,0.18301871549079432,0.07699482412865338,0.2843596695953944,0.784607696151924,0.0004997501249375312,0.784607696151924,0.0,탈락,1.0,False
주분석,S2,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,5571,0.09364474817889588,-0.16500756362905344,0.3518303588832595,0.28052464952230327,0.09957516962462797,0.4590849442987742,0.23088455772113944,0.0004997501249375312,0.23088455772113944,0.0,탈락,1.0,False
주분석,S3,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,4626,-0.15595268149226849,-0.348026412303875,0.08477666522372022,0.12366889682097802,-0.06499000486019084,0.3569707959749277,0.9290354822588706,0.12843578210894552,0.9290354822588706,0.0,탈락,1.0,False
주분석,S3,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,3444,-0.1917591509449686,-0.5203120678434431,0.20838975559909637,0.04962599930493828,-0.2549250880782143,0.4230454364586829,0.8515742128935532,0.37031484257871067,0.8515742128935532,0.0,탈락,1.0,False
주분석,S3,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,2765,-0.1565107851341813,-0.5782301994746707,0.3546177587506656,0.03036911620922614,-0.37658356074557353,0.49798354312066645,0.7406296851574213,0.4432783608195902,0.7406296851574213,0.0,탈락,1.0,False
주분석,S4,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,10677,-0.3153690136380327,-0.383201850882169,-0.24791893458155218,-0.035747435324786164,-0.09792669353921951,0.02594327401460003,1.0,0.8740629685157422,1.0,0.0,탈락,1.0,False
주분석,S4,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,8365,-0.3672838820978211,-0.5076176848160914,-0.232273657255471,-0.12589873184791425,-0.23424909235188912,-0.01629236787676497,1.0,0.9875062468765617,1.0,0.0,탈락,1.0,False
주분석,S4,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,6687,-0.18767416727441033,-0.4080376116416774,0.02887585131468487,-0.0007942659310029085,-0.1560916017074698,0.15094316451378814,0.9525237381309345,0.5177411294352824,0.9525237381309345,0.0,탈락,1.0,False
주분석,S5,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,13290,-0.28172250629112333,-0.3543077667238392,-0.21173490843359638,-0.002100927977876833,-0.06175774152253685,0.05717628186732745,1.0,0.5337331334332833,1.0,0.0,탈락,1.0,False
주분석,S5,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,10221,-0.17739774325779312,-0.3230524729150982,-0.03851477824593809,0.06398740699211375,-0.030294749177073626,0.16380997941639885,0.9930034982508745,0.09695152423788106,0.9930034982508745,0.0,탈락,1.0,False
주분석,S5,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,7895,-0.06969728766125721,-0.31333870772469774,0.1782429536446083,0.11718261368215017,-0.008086392385018149,0.2494458257727764,0.7151424287856072,0.04297851074462768,0.7151424287856072,0.0,탈락,1.0,False
비용스트레스,S1,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,15109,-0.5358905634203721,-0.59254711802331,-0.4810088523285194,-0.05626898510712556,-0.09746856944227628,-0.013097826902908574,1.0,0.9960019990004998,1.0,0.0,탈락,1.0,False
비용스트레스,S1,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,12745,-0.48635583724937537,-0.612958277402636,-0.3593906882881881,-0.044970686999468566,-0.11718131397387412,0.03315183282494283,1.0,0.8785607196401799,1.0,0.0,탈락,1.0,False
비용스트레스,S1,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,9410,-0.4149167953566624,-0.631572031224757,-0.19523722715289027,-0.028036894013254918,-0.13517596486520336,0.08028130398716167,1.0,0.6941529235382309,1.0,0.0,탈락,1.0,False
비용스트레스,S2,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,23330,-0.39913340205311976,-0.451399844221102,-0.34551303101761666,0.0804881762601267,0.04038662982032855,0.12038411194025675,1.0,0.0004997501249375312,1.0,0.0,탈락,1.0,False
비용스트레스,S2,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,9262,-0.2583664347591126,-0.4036406337617275,-0.12057338105977608,0.1830187154907943,0.07699482412865362,0.28435966959539455,1.0,0.0004997501249375312,1.0,0.0,탈락,1.0,False
비용스트레스,S2,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,5571,-0.10635525182110417,-0.36500756362905357,0.15183035888325946,0.28052464952230327,0.09957516962462792,0.4590849442987742,0.7886056971514243,0.0004997501249375312,0.7886056971514243,0.0,탈락,1.0,False
