runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
402,COMPOSITE_REGIME_ROUTER,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-3.4900,0.00,-3.4900,-4624.8938,-19.1049,-0.9992,0.0000,-1.0000,2,0,2,0.0000,-1.7400,2,2026-04-30 09:59:11
401,COMPOSITE_REGIME_ROUTER,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-11.3700,0.00,-11.3700,-3.3859,-3.3485,-2.9018,0.0000,-1.0000,6,0,6,0.0000,-1.8900,6,2026-04-30 09:59:10
400,COMPOSITE_REGIME_ROUTER,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,8.8500,12.20,-19.9600,0.2210,0.6174,0.1120,7.9160,0.4434,82,10,72,9.4200,-1.1900,16,2026-04-30 09:59:06
399,COMPOSITE_REGIME_ROUTER,KRW-AAVE,H1,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-3.8000,9.30,-25.0800,0.0191,0.0531,-0.0395,9.3590,-0.1515,86,8,78,10.9500,-1.1700,19,2026-04-30 09:58:36
398,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:14:26
397,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:13:52
396,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:13:18
395,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:12:48
394,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:11:50
393,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:11:18
392,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:10:46
391,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:10:17
390,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:09:24
389,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:08:49
388,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:08:13
387,COMPOSITE_BREAKOUT,KRW-SOL,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:07:41
386,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ETH,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:06:44
385,COMPOSITE_MOMENTUM,KRW-ETH,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:05:59
384,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-ETH,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:05:19
383,COMPOSITE_BREAKOUT,KRW-ETH,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:04:42
382,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BTC,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:03:41
381,COMPOSITE_MOMENTUM,KRW-BTC,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:03:03
380,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-BTC,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:02:25
379,COMPOSITE_BREAKOUT,KRW-BTC,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-27 14:01:50
378,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,1000000.00,0.100,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 12:38:02
377,COMPOSITE_MOMENTUM,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,1000000.00,0.100,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 12:37:40
376,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,1000000.00,0.100,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 12:37:15
375,COMPOSITE_BREAKOUT,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,1000000.00,0.100,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 12:36:51
374,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,1000000.00,0.100,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 12:36:11
373,COMPOSITE_MOMENTUM,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,1000000.00,0.100,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 12:35:51
372,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,1000000.00,0.100,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 12:35:28
371,COMPOSITE_BREAKOUT,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,1000000.00,0.100,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 12:35:06
370,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-1.6000,11.48,-30.8000,0.0718,0.2243,-0.0137,7.5677,-0.0519,61,7,54,11.7300,-1.5500,23,2026-04-24 11:28:16
369,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-10.3500,11.29,-32.3800,-0.0811,-0.2028,-0.0872,7.0842,-0.3196,124,14,110,6.7300,-0.9500,30,2026-04-24 11:27:36
368,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,1.0400,11.54,-24.2200,0.0949,0.2489,0.0112,7.7184,0.0429,104,12,92,7.9500,-1.0300,26,2026-04-24 11:27:15
367,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-1.6000,11.48,-30.8000,0.0718,0.2243,-0.0137,7.5677,-0.0519,61,7,54,11.7300,-1.5500,23,2026-04-24 11:26:53
366,COMPOSITE_BREAKOUT,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-4.4500,0.00,-4.4500,-2.8970,-2.8687,-1.1396,0.0000,-1.0000,8,0,8,0.0000,-0.5600,8,2026-04-24 11:26:15
