runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
143,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-MET2,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-7.3000,14.29,-14.4800,-1.4475,-1.9943,-2.8502,3.2023,-0.5041,7,1,6,8.3900,-2.6200,6,2026-04-24 09:26:09
142,COMPOSITE_BREAKOUT,KRW-KAT,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0,2026-04-24 09:26:06
141,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-KAT,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0,2026-04-24 09:26:06
140,FAIR_VALUE_GAP,KRW-KAT,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-0.4800,0.00,-0.4800,0.0000,0.0000,-0.9993,0.0000,-1.0000,1,0,1,0.0000,-0.4800,1,2026-04-24 09:26:06
139,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-KAT,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0,2026-04-24 09:26:06
138,COMPOSITE_BREAKOUT,KRW-IP,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,19.5900,35.71,-14.5200,0.9089,2.2170,2.5401,2.7990,1.3492,14,5,9,11.0000,-3.9300,3,2026-04-24 09:26:06
137,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-IP,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,30.7100,23.53,-11.6000,1.5358,6.1563,5.3003,8.0500,2.6474,17,4,13,12.8800,-1.6000,7,2026-04-24 09:25:57
136,FAIR_VALUE_GAP,KRW-IP,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-29.7700,13.88,-51.4200,-0.2101,-0.5444,-0.8295,5.6322,-0.5790,209,29,180,9.8000,-1.7400,28,2026-04-24 09:25:51
135,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-IP,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,21.9500,21.43,-12.1700,1.2941,4.9803,3.9375,7.9128,1.8036,14,3,11,13.6100,-1.7200,8,2026-04-24 09:25:50
134,COMPOSITE_BREAKOUT,KRW-FLOCK,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-37.0600,7.69,-38.0100,-2.7244,-3.0370,-1.5653,1.7541,-0.9750,13,1,12,6.3500,-3.6200,10,2026-04-24 09:25:44
133,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-FLOCK,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-15.8600,16.00,-30.6400,-0.7938,-1.6154,-1.0363,3.4595,-0.5176,25,4,21,7.6800,-2.2200,12,2026-04-24 09:25:35
132,FAIR_VALUE_GAP,KRW-FLOCK,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-30.7200,13.61,-44.5800,-0.6103,-1.3178,-1.1029,5.3308,-0.6891,169,23,146,7.0900,-1.3300,18,2026-04-24 09:25:30
131,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-FLOCK,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-16.2700,9.52,-29.1400,-0.8437,-1.8443,-1.1205,5.4926,-0.5583,21,2,19,11.1500,-2.0300,13,2026-04-24 09:25:29
130,COMPOSITE_BREAKOUT,KRW-ETH,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,29.6900,13.89,-10.9000,0.5848,2.0538,0.6680,9.1818,2.7239,72,10,62,9.0900,-0.9900,14,2026-04-24 09:25:24
129,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ETH,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,56.7200,14.02,-15.4100,0.6807,2.3178,0.7347,8.7474,3.6807,164,23,141,8.3100,-0.9500,14,2026-04-24 09:24:02
128,FAIR_VALUE_GAP,KRW-ETH,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-82.2100,16.75,-83.0200,-1.2601,-2.5705,-0.4034,3.5946,-0.9902,949,159,790,1.3300,-0.3700,28,2026-04-24 09:23:06
127,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-ETH,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,46.4600,14.59,-14.7100,0.5885,1.9342,0.6484,7.7143,3.1584,185,27,158,7.0200,-0.9100,17,2026-04-24 09:22:53
126,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,24.3100,18.57,-22.5300,0.3873,0.9234,0.2427,5.6053,1.0790,70,13,57,8.5200,-1.5200,15,2026-04-24 09:22:01
125,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,45.2200,14.45,-37.0400,0.5070,1.3583,0.2513,7.1929,1.2208,173,25,148,10.0700,-1.4000,26,2026-04-24 09:20:46
124,FAIR_VALUE_GAP,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-28.5300,16.48,-54.0600,0.0252,0.0653,-0.1415,4.8427,-0.5277,874,144,730,4.3100,-0.8900,22,2026-04-24 09:20:04
